name,year,simple_average,simple_average,expedited_average,expedited_median,complex_average,complex_median
Office of Labor Management Standards,2009,21.2,11,NA,NA,22.5,13
Federal Financial Institutions Council,2009,3,3,NA,NA,22,22
Department of Housing and Urban Development,2009,NA,NA,NA,NA,NA,NA
AMTRAK (National Railroad Passenger Corporation),2009,23,10,10,10,69,30
Naval Reactors Laboratory Field Office,2013,39.12,23.5,NA,NA,NA,NA
National Appeals Division,2012,11,4,NA,NA,NA,NA
OCR Region II - New York,2012,52.83,19,NA,NA,200.67,182
General Counsel,2010,68.44,55,NA,NA,NA,NA
United States Department of Agriculture,2013,15.52,14,16.08,11,43.29,19
Office of Scientific and Technical Information,2010,11,11,NA,NA,NA,NA
Office of Navajo and Hopi Indian Relocation,2013,8.53,6,NA,NA,NA,NA
Transportation Security Administration,2009,37.28,21,NA,NA,124.39,59
Management Directorate,2010,9.41,9,NA,NA,42.85,36
Equal Employment Opportunity Commission,2010,11.465,9,1,1,NA,NA
Commodity Futures Trading Commission,2012,46.52,18,NA,NA,3,146.47
Region 7 - Kansas,2012,29.14,22,NA,NA,46,26.5
Los Angeles District Office,2010,1.97154,1,NA,NA,NA,NA
Federal Law Enforcement Training Center,2011,27.56,12.5,NA,NA,NA,NA
"OM - Privacy, Information, Record Management Services",2013,9.37,1,NA,NA,745,45.75
National Institutes of Health,2009,NA,NA,NA,NA,31,16
Bureau of Prisons,2013,17.07,4,NA,292,784,108.48
Chicago Regional Office,2008,4,3,NA,NA,NA,NA
United States Nuclear Regulatory Commission,2009,14,11,NA,NA,3,45
Office of Finance,2008,NA,NA,NA,NA,31.2,4
Civil Division,2008,18,8,NA,NA,19,17
Region 7,2011,16.86,16,18,18.5,483,483
Bureau of Labor Statistics,2010,35.6,14,9,9,76.7,69
Headquarters,2013,5.42,4,NA,NA,230,24.28
Office of Human Resources Management,2010,138.5,138.5,NA,NA,NA,NA
Joint Personnel Recovery Agency,2013,15,17,NA,NA,25,25
Bonneville Power Administration,2008,22,15,NA,NA,NA,NA
United States Northern Command,2010,12,17,NA,NA,NA,NA
Office of the Associate Attorney General,2008,82,48,NA,NA,47,47
Charlotte District Office,2012,18.52,19,NA,NA,NA,NA
"Bureau of Ocean Energy Management, Regulation and Enforcement",2011,65,20,NA,NA,265,191
Science and Technology Directorate,2009,22.66,14,NA,NA,796,1013
OCR Region VIII - Denver,2012,9.65,7,NA,NA,7,3
Executive Office for Immigration Review,2008,27,21,18,13,84,71
Administration for Children and Families,2008,96,186,10,15,108,193
Office of the Secretary,2011,1,1,192,4,1855,117
"Bureau of Alcohal, Tobacco, Firearms and Explosives",2010,22.11,12,NA,NA,1,4
Federal Retirement Thrift Investment Board,2012,27,20,NA,NA,NA,NA
National Telecommunications and Information Administration,2008,18,22,NA,NA,NA,NA
National Protection and Programs Directorate,2008,42.52,19,NA,NA,215.5,154
Defense Technical Information Center,2009,15,12,NA,NA,NA,NA
Office of the Chief Financial Officer - Financial Systems Services,2008,182,182,NA,NA,NA,NA
Federal Law Enforcement Training Center,2008,22,12,NA,NA,NA,NA
Board of Veterans' Appeals,2009,11.5,8,NA,NA,NA,NA
Farm Credit System Insurance Corporation,2013,13.25,14,NA,NA,NA,NA
Department of Homeland Security,2010,39.31,35,36.24,7.5,87.96,43.84
Bureau of Prisons,2008,15.87,4,NA,10,246,40.37
Office of Community Oriented Policing Services,2009,3,2,NA,NA,NA,NA
Science and Technology Directorate,2010,11,13,NA,NA,NA,NA
Denver Regional Office,2013,1,1,NA,NA,NA,NA
Food Safety and Inspection Service,2011,60,30,NA,NA,229.96,167
OFFICE OF THE U.S. TRADE REPRESENTATIVE,2013,19,16,NA,NA,141,39
Federal Communications Commission,2011,23.32,18,NA,NA,NA,NA
NASA Management Office - Jet Propulsion Laboratory,2008,28,14,NA,NA,NA,NA
Program Support Center,2008,NA,NA,NA,NA,NA,NA
Environmental Protection Agency,2010,36.41,19,NA,66,959,93.74
Office of Elementary and Secondary Education,2008,289,240,NA,NA,108,64
Privacy Office,2009,7.92,7,83.5,83.5,62.33,35.5
Committee for Purchase From People Who Are Blind or Severely Disabled,2012,9.5,9,3,3,21,21.5
Office of General Counsel (International Law Division):  (Appeals and Litigation Only),2011,NA,NA,NA,NA,NA,NA
Office of the Assistant Secretary for Policy,2013,28.7,35,NA,NA,136.3,91
Federal Motor Carrier Safety Administration,2008,47,39,150,50,92,49
United States Department of the Navy,2009,111,275,8,6,74,40
Bureau of Engraving and Printing,2011,7,3,NA,NA,12,8
Bureau of Public Debt,2009,NA,NA,NA,NA,5.2,3
United States National Central Bureau -- INTERPOL,2008,2.27,2,9.79,12,23.16,23
United States Customs and Border Protection,2013,142.02,129,38.44,23,94.86,66.5
National Park Service,2009,6,2,NA,27,6,596
Board of Governors of the Federal Reserve System,2008,3,2,138,134,138,19
Food and Drug Administration,2012,29,8,NA,NA,203,105
Federal Energy Regulatory Commission,2011,20,20,20,20,39,30
Federal Student Aid,2012,38.7,32,32,32,84.84,39.5
Office of the Assistant Secretary for Public & Intergovernmental Affairs,2008,NA,NA,NA,NA,NA,NA
Surface Transportation Board,2010,7.3,7,NA,NA,NA,NA
National Transportation Safety Board,2011,17.81,22,NA,NA,297,75.05
Executive Secretariat,2012,937.9,1163,NA,NA,966.5,794
Office of the Deputy Assistant Secretary for Budget,2011,NA,NA,NA,NA,NA,NA
Office of Policy and Planning,2011,8,8,NA,NA,NA,NA
Oak Ridge Office,2012,30.37,23,3,3,9,62.6
Financial Management Service,2010,7,5,NA,NA,NA,NA
Board of Veterans' Appeals,2010,39.2,25,NA,NA,NA,NA
NASA Management Office - Jet Propulsion Laboratory,2012,2.65,2,NA,NA,20,6.86
National Endowment for the Humanities,2010,17.8,18,NA,NA,149.57,69.5
Agency for Healthcare Research and Quality,2010,18.95,14,NA,NA,60.38,46.5
Economic and Statistics Administration/Bureau of Economic Analysis,2011,6,3,NA,NA,NA,NA
OCR Region X - Seattle,2011,7.24,7,NA,NA,18.33,19
Privacy Office,2010,7.09,7,25.39,9,113.8,79
OCR Region III - Philadelphia,2012,9.9,9,10,10,64.22,30
Treasury Inspector General for Tax Administration,2013,8,2,21.9,21.5,15.49,14
Postal Regulatory Commission,2011,11,15,10,10,NA,NA
Office of Disability Employment Policy,2013,NA,NA,NA,NA,NA,NA
National Endowment for the Humanities,2012,15.4,16.5,9.3,9,25.8,22.5
Office of Navajo and Hopi Indian Relocation,2010,12,6,NA,NA,NA,NA
United States Office of Government Ethics,2010,13.02,13.5,NA,NA,NA,NA
Office of National Drug Control Policy,2011,11,10,NA,NA,NA,NA
Occupational Safety and Health Administration,2013,15.3,4,20.8,6,27.4,9
Selective Service System,2010,3,6,NA,NA,NA,NA
Idaho Operations Office,2013,9.11,8,NA,NA,4,4
United States Patent and Trademark Office,2011,9.59,9,NA,NA,NA,NA
OCR Region III - Philadelphia,2010,65,44,NA,NA,51,51
Office of Vocational and Adult Education,2010,46,49,NA,NA,NA,NA
Federal Mediation and Conciliation Service,2010,6,6,2,2,NA,NA
Federal Transit Administration,2012,19,17,28,28,61,50
United States Railroad Retirement Board,2012,34.73,22,NA,NA,NA,NA
Strategic Petroleum Reserve,2008,12,25,NA,NA,NA,NA
Criminal Division,2012,39.02,26,101.33,61,70.15,39
United States Department of State,2013,106,90,1841,4,2070,532.8
Armed Forces Retirement Home,2013,14,16,NA,NA,NA,NA
Social Security Administration,2009,17,11,NA,NA,77,61
OCR Region IX - San Francisco,2011,6.42,5,NA,NA,20,20
Denver Regional Office,2009,9,9,NA,NA,NA,NA
Region 5,2009,17.27,16,4,4,92.06,68
United States Office of Personnel Management,2010,72,618,NA,NA,5,6
Stennis Space Center,2011,11.57,9,NA,NA,151,246.5
Substance Abuse and Mental Health Services Administration,2008,NA,NA,NA,NA,75,70
Defense Commissary Agency,2008,5,4,NA,NA,28,26
Defense Logistic Agency,2011,12,1,16,16,34,15
Atlanta District Office,2011,13.4248,15,NA,NA,NA,NA
National Technical Information Service,2012,9,6,NA,NA,NA,NA
Department of the Interior,2011,3,2,NA,265,2235,44
OCR Region XII - Cleveland,2011,14.17,14,NA,NA,20.56,20
Office of the Secretary of Defense/Joint Staff,2009,18,5,299,55,492,258
OCR Regional Enforcement Office - Philadelphia,2008,78,51,16,23,17,17
Justice Management Division,2013,55.77,18,NA,NA,1,91.55
Office of Management and Budget,2008,26,20,NA,NA,NA,NA
Federal Aviation Administration,2012,15,10,NA,164,1472,61
NASA Shared Services Center,2008,14,7,NA,NA,NA,NA
Office of Small and Disadvantaged Business Utilization,2011,86.54,49,NA,NA,NA,NA
Office of the Assistant Secretary for Policy,2012,369.9,262,NA,NA,806.4,781
Institute of Education Scinces,2013,9,9.5,NA,NA,21.68,20
Appeals,2011,NA,NA,NA,NA,NA,NA
Federal Transit Administration,2009,25,18,NA,NA,NA,NA
Veterans Health Administration,2008,NA,NA,1,1,10,2
Federal Open Market Committee,2008,8.9,8.5,NA,NA,18.6,13
Health Resources and Services Administration,2012,NA,NA,NA,NA,21,18
Postal Inspection Service,2012,7.75,6,NA,NA,30,30
Houston District Office,2011,11.3001,12,NA,NA,NA,NA
Federal Service Impasses Panel,2010,2,1,NA,NA,NA,NA
Defense Contract Management Agency,2013,11,22,1,3,23,182
United States Mint,2008,NA,NA,NA,NA,13.3,11
United States Transportation Command,2010,8,12,1,1,258,132
"Office of Planning, Evaluation, and Policy Development",2008,398,389,NA,NA,NA,NA
Johnson Space Center,2010,8.54,5,30,2,237,19.93
Professional Responsibility Advisory Office,2010,7.71,5.5,NA,NA,NA,NA
Office of Scientific and Technical Information,2011,23.2,23,NA,NA,NA,NA
Department of Defense,2010,2306,24,NA,NA,970,8
Department of Energy,2008,70,23,10,7,86,51
Office of the Pardon Attorney,2008,14.7,15,NA,NA,21,15
Federal Highway Administration,2011,43,12,NA,58,345,31
Federal Election Commission,2012,49,20,12.5,12.5,132.6,81.5
Risk Management Agency,2013,29.3,12,NA,NA,107.83,14.5
Bureau of Indian Affairs,2011,2,2,NA,NA,671,32
Women's Bureau,2013,92.6,41,NA,NA,101,101
Office of the Inspector General,2011,10,7,30,30,108,37
National Telecommunications and Information Administration,2010,9,12,NA,NA,28,22
General Counsel,2008,NA,NA,NA,NA,10,44
"Office of Operations, Security, and Preparedness (formerly S&LE - Security & Law Enforcement)",2009,12,12.5,NA,NA,NA,NA
Office of Federal Contractor Compliance Programs,2012,4.3,3,NA,NA,26.1,13
OCR Regional Enforcement Office - Denver,2008,19,15,NA,NA,50,49
Federal Energy Regulatory Commission,2012,23,24,NA,NA,99,28
Office of the Inspector General,2008,20,28,33,33,79,55
Inspector General,2012,2,3,NA,NA,NA,NA
U.S. Office of Special Counsel,2011,3,2,12,12,42,17
Western Area Power Administration,2013,7,7,NA,NA,NA,NA
Employment and Training Administration,2010,19.4,10,29.4,19,25.7,17
Council of the Inspectors General on Integrity and Efficiency,2010,22,22,NA,NA,NA,NA
Office of Workers Compensation Programs,2013,104,12,NA,NA,27,12
Civil Division,2011,15.04,4,NA,NA,235,42.89
Office on Violence Against Women,2013,16.8,16,NA,NA,NA,NA
Office of Vocational and Adult Education,2009,8,8,NA,NA,71,58
Defense Security Service,2010,12,7,NA,NA,NA,NA
Federal Housing Finance Agency - Office of the Inspector General,2011,7.75,7.5,NA,NA,NA,NA
Natural Resources Conservation Service,2012,17.38,10,NA,NA,49.3,44
Office of the Deputy Assistant Secretary for Intergovernmenal Affairs,2011,21.5,21.5,NA,NA,NA,NA
Office of Assistant Secretary for Health,2011,26,13,NA,NA,263,174
Environmental Protection Agency,2009,37.15,20,8,10,75.32,39
Drug Enforcement Administration,2008,126.39,82,NA,NA,127,112
"Office of Acquisition, Logistics, and Construction (formerly A&MM - Acquisition & Material Management)",2009,354,352,NA,NA,NA,NA
"Authority Member, Administrative Law Judges & Solicitor",2010,27,17,NA,NA,NA,NA
Legal Services Corporation ,2013,9.94,7,NA,NA,NA,NA
Office of Inspector General,2010,6,2,NA,NA,142,99
NASA Shared Services Center,2013,11.33,8,NA,NA,56.14,25
Consumer Protection Financial Board,2013,8.36,6.5,NA,NA,128,31.07
OFFICE OF THE U.S. TRADE REPRESENTATIVE,2012,22,10,38,51,151,31
Washington Field Office,2012,15.83,18,NA,NA,NA,NA
United States Postal Service,2011,11.44,5,14.33,9.5,43.13,21
Region 6 - Fort Worth,2012,15.67,13.5,17,17,19.56,17.5
Defense Technical Information Center,2013,13,13,NA,NA,25,24
"Office of Operations, Security, and Preparedness (formerly S&LE - Security & Law Enforcement)",2013,16.14,4,NA,NA,NA,NA
Corporation for National and Community Service,2012,29,23,20,22,75,90
Civil Rights Division,2012,10.76,4.5,102,102,1,302
Social Security Administration,2011,22,17,NA,NA,56,47
Office of Budget and Program Analysis,2010,6,6,NA,NA,NA,NA
OCR Region VII- Kansas City,2011,21.16,6,NA,NA,144.5,75
National Aeronautics and Space Administration,2011,23.9,11,227,227,846,57.97
Research and Innovative Technology Administration,2011,16,9,NA,NA,193,193
Export-Import Bank of the United States,2009,45,38,NA,NA,250,157
Federal Bureau of Investigation,2013,44.48,17,14,103.57,3,231.97
Office of Intergovermental and Public Liaison,2012,19,19,74,74,77.95,62
Civil Division,2009,25,15,NA,NA,7,7
National Appeals Division,2011,8,7,NA,NA,NA,NA
Occupational Safety and Health Administration,2009,22.4,5,36,11,91,8
Treasury Inspector General for Tax Administration,2008,17,18,NA,NA,22,20
National Aeronautics and Space Administration,2013,5.65,4,NA,NA,252,22.34
National Security Agency,2009,62,8,10,10,1327,833
Alcohol and Tobacco Tax and Trade Bureau,2008,11,9,18,12,29,16
Postal Service,2012,20.28,8,NA,NA,45.2,24
Saint Lawrence Seaway Development Corporation,2008,25,14,NA,NA,NA,NA
American Battle Monuments Commission,2013,72,11,NA,NA,NA,NA
OCR District of Columbia,2011,25,11,NA,NA,47.5,46
Memphis District Office,2013,19.76,19,NA,NA,NA,NA
"Research, Education, and Economics",2011,NA,NA,17.5,17,13,13
Federal Bureau of Investigation,2010,36.59,16,2,42.37,2,224.98
United States Department of State,2009,104,88,164,25,384,307
Alcohol and Tobacco Tax and Trade Bureau,2010,7,8,NA,NA,14,23
Naval Reactors,2011,NA,NA,NA,NA,NA,NA
Board of Governors of the Federal Reserve System,2010,5,2,12,24,105,55
National Highway Traffic Safety Administration,2012,19,17,10,10,2,51
Federal Energy Regulatory Commission,2010,34,23,NA,NA,41,29
Department of Transportation,2010,20.98,9,NA,259,1502,53.75
Surface Transportation Board,2013,6,4,NA,NA,NA,NA
Office of the Deputy Assistant Secretary for Budget,2013,NA,NA,NA,NA,NA,NA
Region 7 - Kansas,2011,29,24,NA,NA,76,64
Idaho Operations Office,2010,9.36,8,NA,NA,5,41.67
Minerals Management Service,2009,2,2,NA,NA,284,26.41
Office of the Assistant Secretary for Policy,2009,NA,NA,NA,NA,90,21
Pipeline and Hazardous Materials Safety Administration,2010,32,14,6,5,159,44
Science and Technology Directorate,2011,12.14,8,NA,NA,62.4,47
Food and Drug Administration,2011,48.6,9,64.3,53,248.1,162
Office of The Inspector General,2008,23,8,NA,NA,NA,NA
Defense Security Service,2013,5,5,NA,NA,NA,NA
Indian Health Service,2009,14,12,10,13,90,52
Denver Regional Office,2008,9,9,NA,NA,NA,NA
Institute of Museum and Library Services,2008,11,9,NA,NA,1,1
Pipeline and Hazardous Materials Safety Administration,2008,205,78,10,168,15,88
Savannah River Operations Office,2009,NA,NA,NA,NA,NA,NA
Saint Lawrence Seaway Development Corporation,2009,46,19,NA,NA,NA,NA
Pacific Northwest Site Office,2008,14,16,NA,NA,NA,NA
Office of Federal Contractor Compliance Programs,2010,9.2,3.5,13.5,13,33.1,21
National Credit Union Administration,2012,18.52,13,11,11,159.54,150
Washington Field Office,2011,16.3054,18,NA,NA,NA,NA
Office of The Federal Detention Trustee,2010,19.45,4,69.29,33,92.13,102
FOIA/Privacy Act Office,2013,44,32,NA,NA,183,152
United States Parole Commission,2009,9,2,NA,NA,186,214
Bureau of Indian Affairs,2013,2,1,20,8,620,23
Office on Violence Against Women,2012,13.79,15,NA,NA,NA,NA
United States Customs and Border Protection,2011,36.49,4,2.75,1.5,65.85,60
Legal Services Corporation ,2012,8.11,6,9,6,22,21
United States Securities and Exchange Commission,2012,14,6,1,13,1,325
OCR Region VI - Dallas,2011,14.84,17,NA,NA,22.22,23
Office of Civil Rights & Civil Liberties,2012,5.86,6,4,4,23.54,13
Office of Justice Programs,2012,11.96,8,NA,NA,721,69.17
Chemical Safety and Hazard Investigation Board,2013,4,5,NA,NA,38,664
U. S. General Services  Administration,2010,33,28,NA,NA,NA,NA
Federal Maritime Commission,2012,20.4,12,12.3,11,272.4,283
Social Security Administration,2012,19,12,NA,NA,57,41
Defense Commissary Agency,2011,65,11,NA,NA,NA,NA
Office of the Associate Attorney General,2009,79,32,NA,136,850,850
Rural Development,2011,60,13,NA,NA,NA,NA
Charlotte District Office,2013,17.87,19,NA,NA,6.4,2.5
Office of Intergovermental and Public Liaison,2010,132.63,97,53,53,283.33,362
United States Customs and Border Protection,2009,38.46,18.57,NA,NA,91.09,60
Federal Election Commission,2008,62.1,41,188.2,212,NA,NA
Region 3 - Philadelphia,2012,14.7,13,NA,NA,17.71,14.5
NASA Headquarters,2008,19,8,NA,NA,123,84
Financial Crimes Enforcement Network,2009,2.3,2,NA,NA,10.2,7
Executive Office for United States Trustees,2013,11.22,7,6.5,4.5,31.68,18
Criminal Division,2009,50.8,41,9,37.5,87.7,61
Office of the Associate Attorney General,2010,79.29,31,9,28.5,99,237.5
Office of Human Resources Management,2011,230.53,218,NA,NA,NA,NA
Office of Legislation and Congressional Affairs,2013,NA,NA,NA,NA,NA,NA
"Office of Planning, Evaluation, and Policy Development",2011,37,24,NA,NA,199.7,94.5
National Credit Union Administration,2010,15,14,10,32,13,43
United States Railroad Retirement Board,2011,22.06,18,NA,NA,NA,NA
Office for Civil Rights (Headquarters),2011,32.47,33.5,4,4,80,68.5
Mine Safety and Health Administration,2011,NA,NA,160.4,151.5,24,13
Tax Division,2013,8.74,4,NA,NA,4,58.81
Strategic Petroleum Reserve,2009,5,7,NA,NA,47,12
Office of Construction and Facilities Management,2013,188.38,189.5,NA,NA,1,132.36
Region 9 - San Fracisco,2012,17.35,13,9,9,25.26,21
Saint Lawrence Seaway Development Corporation,2012,11,12,NA,NA,113,113
Tax Division,2012,9.16,4,NA,NA,2,49.93
Office on Violence Against Women,2008,13.25,14,NA,NA,NA,NA
"Office of Acquisition, Logistics, and Construction (formerly A&MM - Acquisition & Material Management)",2010,59.8,12.5,NA,NA,21,21
Office of Finance,2011,27.08,15,NA,NA,NA,NA
National Science Foundation,2010,19,17,NA,NA,NA,NA
Federal Emergency Management Agency,2009,192.51,131,345,194.5,218.25,157
United States Northern Command,2011,20,17,NA,NA,NA,NA
Natural Resources Conservation Service,2010,5,5,NA,NA,14,14
Office of Human Resources Management,2013,279,279,NA,NA,214,87
Management Directorate,2011,10.79,8,NA,NA,34.76,33
Veterans Benefits Administration,2011,25.86,7,NA,NA,NA,NA
Animal and Plant Health Inspection Service,2011,49.16,20,94,3,1027,350.06
Office of Small and Disadvantaged Business Utilization,2009,NA,NA,NA,NA,NA,NA
Executive Office for United States Attorneys,2010,150.63,60,NA,NA,8,117.44
Office of the General Counsel,2011,13,5,NA,NA,NA,NA
Defense Contract Management Agency,2011,47,25,24,24,215,249
OCR Regional Enforcement Office - Dallas,2008,25,20,32,32,29,22
Defense Intelligence Agency,2008,10,10,NA,NA,516,277
Washington Field Office,2010,11.8473,12,NA,NA,NA,NA
Office of the Assistant Secretary for Public & Intergovernmental Affairs,2013,16,16,NA,NA,NA,NA
Privacy Office,2011,6.72,6,391,391,74.71,41
Justice Management Division,2009,23.9,15,NA,NA,65.8,42
Department of Veterans Affairs,2012,10.61,4,NA,393,733,28.1
Office of English Language Acquisition,2009,8,8,NA,NA,128,130
Broadcasting Board of Governors,2013,44,38,NA,NA,NA,NA
Pension Benefit Guaranty Corporation,2010,6,6,6,6,NA,NA
Federal Communications Commission,2012,26,18,NA,NA,NA,NA
United States Merit Systems Protection Board,2013,22.3,13,NA,NA,31,67.92
FOIA/Privacy Act Office,2008,15,13,NA,NA,3,3
Central Intelligence Agency,2009,37,15,117,61,146,51
Farm Credit Administration,2013,9.57,10.5,NA,NA,18,18
Veterans Benefits Administration,2008,NA,NA,1,1,29,10.5
U.S. Trade and Development Agency,2012,NA,NA,NA,NA,20.6,13
Office of Federal Contractor Compliance Programs,2011,10.4,2,3,3,33.7,23.5
United States Geological Survey,2010,18,15,NA,NA,NA,NA
Postal Inspection Service,2010,9,7,NA,NA,19,69
National Reconnaissance Office,2008,13,9,NA,NA,219,96
Office of National Drug Control Policy,2008,NA,NA,NA,NA,NA,NA
Region 7,2013,18.4,19,4,4,181,37.55
Stennis Space Center,2010,4.59,2,2,2,164,38.8
United States Department of Agriculture,2012,33.12,16,34.7,13,76.4,25
Office of Safe and Drug-Free Schools,2008,309,266,NA,NA,131,122
United States Joint Forces Command,2010,181,87,NA,NA,444,437
Bureau of Engraving and Printing,2012,6,2,3,3,19,14
Office of Congressional and Intergovernmental Affairs,2011,NA,NA,30,30,39.1,36
Federal Bureau of Investigation,2009,115,88,79,60,301,236
Veterans Benefits Administration,2013,46.56,22,52,1,778,58.77
Bureau of International Labor Affairs,2010,NA,NA,NA,NA,19.4,13
Department of Housing and Urban Development,2010,698,1,NA,NA,191,NA
Office of Congressional & Legislative Affairs,2008,NA,NA,NA,NA,NA,NA
Bureau of Prisons,2012,16.89,6,NA,125,744,96.09
Office of Resolution Management,2013,19.11,14,NA,NA,17.5,16
Phoenix District Office,2010,8.36937,8,NA,NA,NA,NA
"Bureau of Alcohal, Tobacco, Firearms and Explosives",2013,50.05,28,NA,NA,95,95
Bureau of Prisons,2011,26.99,10,65,3,647,116.61
United States Consumer Product Safety Commission,2008,12,10,NA,NA,85,60
Office of Professional Responsibility,2009,40,28,NA,NA,297,261
Overseas Private Investment Corporation,2012,18.37,10,NA,NA,NA,NA
Office of Legislation and Congressional Affairs,2008,227,227,NA,NA,248,248
Johnson Space Center,2009,7,7,30,30,75,75
National Oceanic and Atmospheric Administration,2011,45,21,NA,NA,NA,NA
Substance Abuse and Mental Health Services Administration,2011,34,17,NA,NA,58,34
Antitrust Division,2009,9,5,NA,NA,404,102
Strategic Petroleum Reserve,2010,14,15,NA,NA,NA,NA
Professional Responsibility Advisory Office,2009,11.7,14,NA,NA,NA,NA
Region 10 -Seattle,2011,15,17,4,4,27,23
Administration for Children and Families,2013,536,488,182,182,119,60
Office of National Drug Control Policy,2012,15,16,NA,NA,NA,NA
San Francisco Regional Office,2010,14,17,NA,NA,NA,NA
Environmental Management Consolidated Business Center,2009,35,27,NA,NA,NA,NA
Defense Commissary Agency,2013,13,6,NA,NA,NA,NA
Dallas Regional Office,2010,15,20,NA,NA,NA,NA
Bureau of Public Debt,2011,7.4,6,NA,NA,NA,NA
Privacy Office,2012,9.6,7,189,189,70.18,55
Strategic Petroleum Reserve,2011,14.93,15.5,NA,NA,NA,NA
Bureau of Public Debt,2012,NA,NA,10.3,13,6,4
Naval Reactors,2013,NA,NA,NA,NA,NA,NA
Substance Abuse and Mental Health Services Administration,2012,48,56,NA,NA,83,57
Foreign Agricultural Service,2011,11.5,11,NA,NA,38.2,20
United States Department of Labor,2010,11.6,4.5,15.1,5.5,27.4,12
Naval Reactors Laboratory Field Office,2011,31.79,14.5,NA,NA,NA,NA
Defense Finance and Accounting Service,2009,15,11,7,1,27,23
Office of Information Policy,2008,19,9,NA,NA,143,686
Farm Service Agency,2012,2.7,1,3,3,15.2,13
Region 9 - San Fracisco,2013,18.86,14,NA,NA,14.39,15
Federal Service Impasses Panel,2009,6,1,NA,NA,NA,NA
United States Patent and Trademark Office,2013,13,14,NA,NA,28,25
Overseas Private Investment Corporation,2013,21.68,5,NA,NA,10,10
"Bureau of Alcohal, Tobacco, Firearms and Explosives",2011,19.64,12,NA,NA,3,188
Chicago Regional Office,2013,9.5,9.5,NA,NA,NA,NA
Science and Technology Directorate,2013,6.75,5,93,93,110.17,94
OCR Region XII - Cleveland,2010,23,22,NA,NA,NA,NA
Office of Resolution Management,2011,13.53,13,NA,NA,NA,NA
Federal Transit Administration,2011,20,17,NA,NA,12,12
United States Northern Command,2009,8,8,NA,NA,6,6
National Credit Union Administration,2009,11.1,9,22,42,NA,27
Headquarters,2011,44.98,4,227,227,846,135.96
Langley Research Center,2009,101,101,NA,NA,377,396
Railroad Retirement Board,2013,12.13,11,NA,NA,NA,NA
United States Secret Service,2010,13.95,14,NA,NA,196.9,47
National Endowment for the Arts,2011,30.2,6,6,19.9,3,130.4
United States Department of the Army,2011,1551,14,NA,NA,524,14
Office of the Inspector General,2013,10,5,4,3,278,255
Golden Field Office,2013,103,6.57,NA,NA,NA,NA
Strategic Petroleum Reserve,2012,11.67,10.5,NA,NA,NA,NA
San Francisco Regional Office,2012,18,18,NA,NA,NA,NA
National Indian Gaming Commision,2010,25.3,10,2,2,87,102
Office of Congressional and Legislative Affairs,2013,14.2,11,NA,NA,17.94,18
Region 5,2011,17.67,16,NA,NA,21,79.27
Office of Civil Rights,2010,15,15,NA,NA,NA,NA
Federal Housing Finance Agency,2012,11.03,6,NA,NA,271,39.25
National Labor Relations Board,2010,5,3,NA,NA,2,3
United States Visitor and Immigrant Status Indicator Technology,2010,23.8,27,NA,NA,81.29,68
Postal Service and Postal Inspection Service,2010,NA,NA,NA,NA,NA,NA
Office of Innovation and Improvement,2012,18.4,27.5,NA,NA,125.61,52
Selective Service System,2011,5,1,NA,NA,NA,NA
National Guard Bureau,2011,16,6,NA,NA,61,49
Office of the Under Secretary,2011,169,169,NA,NA,161.5,134.5
United States Office of Government Ethics,2013,8.6,7,NA,NA,NA,NA
Department of Defense,2013,3061,10,NA,NA,609,15
"United States Section, International Boundary and Water Commission",2010,15.6,17,NA,NA,NA,NA
Court Services and Offender Supervision Agency,2011,29.92,27,NA,NA,NA,NA
Federal Mine Safety and Health Review Commission,2012,3.6,1,12.5,12.5,16,18.5
Board of Governors of the Federal Reserve System,2012,3,2,28,28,62,31
Federal Financial Institutions Council,2013,12.2,12.5,NA,NA,NA,NA
Office of the Secretary,2009,3,1,NA,NA,13,13
Overseas Private Investment Corporation,2008,26,89,NA,NA,NA,NA
"Grain Inspection, Packers and Stockyards Administration",2010,7.4,5,NA,NA,76,44
Occupational Safety and Health Review Commission,2012,11.2,10,NA,NA,30,30
National Energy Technology Laboratory,2010,17.51,12,NA,NA,NA,NA
United States Railroad Retirement Board,2010,12.14,12,NA,NA,NA,NA
Fish & Wildlife Service,2012,13,13,27,4,713,39
Occupational Safety and Health Administration,2010,16,5,13.7,4,19.7,8
Office of the Director of National Intelligence,2012,16.54,4,208,23,190.28,42.5
Office of Intelligence and Analysis,2011,22.56,23,NA,NA,28.39,15.5
Export-Import Bank of the United States,2008,16,15,45,7,118,72
Treasury Inspector General for Tax Administration,2011,14,13,3,3,17,18
United States Merit Systems Protection Board,2010,17,8,NA,NA,NA,NA
Veterans Affairs Central Office,2009,NA,NA,NA,NA,NA,NA
U.S. Trade and Development Agency,2013,15.75,10,NA,NA,NA,NA
Office of Assistant Secretary for Health,2013,8,6,30,30,220,108
Office of General Counsel (International Law Division):  (Appeals and Litigation Only),2008,NA,NA,NA,NA,NA,NA
Office of Human Resources Management,2008,NA,NA,2,2,3,3
Federal Maritime Commission,2008,24,24,NA,NA,NA,NA
Office of the Secretary,2012,85,26,NA,NA,2,3
Head Quarters,2010,10.1,6,NA,NA,241,39.39
Office of Elementary and Secondary Education,2010,91,75,NA,NA,106,44
OCR Regional Enforcement Office - Denver,2009,11,10,NA,NA,16,10
Washington Regional Office,2013,NA,NA,NA,NA,NA,NA
